Age,Attrition,Department,Gender,JobRole,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
24,Yes,"Research & Development",Male,"Research Scientist",2293,Yes,3,6,2,2,0,2
43,No,"Research & Development",Female,"Research Scientist",2645,No,3,6,2,5,3,1
50,Yes,Sales,Male,"Sales Representative",2683,Yes,3,3,3,3,2,0
35,No,Sales,Female,"Sales Representative",2014,No,3,2,3,2,2,2
36,No,"Research & Development",Female,"Research Scientist",3419,Yes,3,6,4,1,1,0
33,No,Sales,Female,"Sales Executive",5376,No,3,10,3,5,3,1
35,No,"Research & Development",Male,"Laboratory Technician",1951,No,3,1,3,1,0,0
27,No,"Research & Development",Female,"Laboratory Technician",2341,No,3,1,3,1,0,0
26,Yes,"Research & Development",Male,"Laboratory Technician",2293,No,3,1,2,1,0,0
27,No,Sales,Male,"Sales Executive",8726,No,3,9,3,9,8,1
30,No,"Research & Development",Female,"Laboratory Technician",4011,No,4,12,3,12,8,3
41,Yes,"Research & Development",Female,"Research Director",19545,No,3,23,3,22,15,15
34,No,Sales,Male,"Sales Executive",4568,No,4,10,3,9,5,8
37,No,"Research & Development",Male,"Research Scientist",3022,No,4,8,3,1,0,0
46,No,Sales,Male,"Sales Executive",5772,Yes,4,14,3,9,6,0
35,No,"Research & Development",Male,"Laboratory Technician",2269,No,3,1,3,1,0,0
48,Yes,"Research & Development",Male,"Laboratory Technician",5381,Yes,3,23,3,1,0,0
28,Yes,"Research & Development",Male,"Laboratory Technician",3441,Yes,3,2,2,2,2,2
44,No,Sales,Female,"Sales Executive",5454,Yes,4,9,2,4,3,1
35,No,"Research & Development",Male,"Healthcare Representative",9884,Yes,3,10,3,4,0,2
26,No,Sales,Female,"Sales Executive",4157,Yes,3,5,2,2,2,0
33,No,"Research & Development",Female,"Research Director",13458,Yes,3,15,3,15,14,8
35,No,Sales,Male,"Sales Executive",9069,No,4,9,2,9,8,1
35,No,"Research & Development",Female,"Laboratory Technician",4014,Yes,3,4,3,2,2,2
31,No,"Research & Development",Male,"Laboratory Technician",5915,No,4,10,2,7,7,1
37,No,"Research & Development",Male,"Manufacturing Director",5993,No,3,7,4,7,5,0
32,No,"Research & Development",Male,"Manufacturing Director",6162,Yes,4,9,3,9,8,7
38,No,"Research & Development",Female,"Laboratory Technician",2406,No,3,10,3,10,3,9
50,No,"Research & Development",Female,"Research Director",18740,Yes,3,29,2,27,3,13
59,No,Sales,Female,"Sales Executive",7637,No,3,28,2,21,16,7
36,No,"Research & Development",Female,"Healthcare Representative",10096,No,3,17,3,17,14,12
55,No,"Research & Development",Female,Manager,14756,Yes,3,21,3,5,0,0
36,No,"Research & Development",Male,"Manufacturing Director",6499,No,3,6,3,6,5,0
45,No,"Research & Development",Male,"Research Scientist",9724,No,3,25,3,1,0,0
35,No,"Research & Development",Male,"Research Scientist",2194,No,3,5,2,3,2,1
36,Yes,"Research & Development",Male,"Research Scientist",3388,Yes,3,2,2,1,0,0
59,No,Sales,Female,"Sales Executive",5473,No,3,20,2,4,3,1
29,No,"Research & Development",Male,"Research Scientist",2703,No,4,6,3,5,4,0
31,No,"Research & Development",Male,"Research Scientist",2501,No,3,1,3,1,1,1
32,No,"Research & Development",Male,"Research Scientist",6220,No,3,10,3,10,4,0
36,No,"Research & Development",Female,"Laboratory Technician",3038,No,3,5,3,1,0,0
31,No,"Research & Development",Female,"Manufacturing Director",4424,No,4,11,3,11,7,1
35,No,Sales,Male,"Sales Executive",4312,No,3,16,3,15,13,2
45,No,"Research & Development",Male,"Research Director",13245,Yes,3,17,4,0,0,0
37,No,"Research & Development",Male,"Research Director",13664,No,3,16,4,5,2,0
46,No,"Human Resources",Male,"Human Resources",5021,Yes,4,16,3,4,2,0
30,No,"Research & Development",Male,"Laboratory Technician",5126,Yes,3,10,2,10,8,3
35,No,"Research & Development",Male,"Research Scientist",2859,No,3,6,3,6,4,0
55,No,Sales,Male,"Sales Executive",10239,No,3,24,3,1,0,1
38,No,"Research & Development",Female,"Research Scientist",5329,Yes,3,17,3,13,11,1
34,No,"Research & Development",Male,"Manufacturing Director",4325,No,3,5,3,5,2,1
56,No,"Research & Development",Male,"Manufacturing Director",7260,No,3,37,2,6,4,0
23,No,Sales,Male,"Sales Representative",2322,No,3,3,3,0,0,0
51,No,"Research & Development",Male,"Laboratory Technician",2075,No,4,10,3,4,2,0
30,No,"Research & Development",Male,"Healthcare Representative",4152,No,3,11,3,11,10,10
46,Yes,Sales,Male,"Sales Executive",9619,No,3,9,3,9,8,4
40,No,"Research & Development",Male,"Healthcare Representative",13503,No,4,22,2,22,3,11
51,No,Sales,Male,"Sales Executive",5441,Yes,4,11,1,10,7,1
30,No,Sales,Female,"Sales Executive",5209,Yes,3,11,2,11,8,2
46,No,"Research & Development",Male,"Healthcare Representative",10673,Yes,3,21,2,10,9,9
32,No,Sales,Male,"Sales Executive",5010,No,3,12,3,11,8,5
54,No,"Research & Development",Female,"Research Director",13549,No,3,16,1,4,3,0
24,No,Sales,Female,"Sales Executive",4999,No,4,4,2,3,2,0
28,No,Sales,Male,"Sales Executive",4221,No,3,5,4,5,4,0
58,No,Sales,Male,"Sales Executive",13872,No,3,38,2,37,10,1
44,No,"Research & Development",Male,"Laboratory Technician",2042,No,3,17,4,3,2,1
37,Yes,"Human Resources",Male,"Human Resources",2073,Yes,4,7,3,3,2,0
32,No,"Research & Development",Male,"Research Scientist",2956,No,3,1,3,1,0,0
20,Yes,"Research & Development",Female,"Laboratory Technician",2926,Yes,3,1,3,1,0,1
34,No,"Research & Development",Female,"Research Scientist",4809,No,3,16,3,16,13,2
37,No,"Research & Development",Male,"Healthcare Representative",5163,No,3,17,4,1,0,0
59,No,"Human Resources",Female,Manager,18844,No,4,30,3,3,2,2
50,No,"Research & Development",Female,"Research Director",18172,Yes,3,28,2,8,3,0
25,Yes,Sales,Male,"Sales Executive",5744,Yes,3,6,3,6,4,0
25,No,"Research & Development",Male,"Research Scientist",2889,No,3,2,3,2,2,2
22,No,"Research & Development",Female,"Laboratory Technician",2871,No,3,1,3,0,0,0
51,No,"Research & Development",Female,"Healthcare Representative",7484,No,4,23,2,13,12,12
34,Yes,"Research & Development",Male,"Laboratory Technician",6074,Yes,4,9,3,9,7,0
54,No,"Human Resources",Female,Manager,17328,Yes,3,23,3,5,3,4
24,No,"Research & Development",Male,"Laboratory Technician",2774,No,3,6,3,5,3,1
34,No,"Research & Development",Female,"Research Scientist",4505,No,3,12,3,1,0,0
37,No,Sales,Male,"Sales Executive",7428,No,3,12,3,5,3,1
34,No,"Research & Development",Female,Manager,11631,No,3,14,3,11,10,5
36,No,Sales,Female,"Sales Executive",9738,No,3,10,3,9,7,2
36,No,"Research & Development",Female,"Laboratory Technician",2835,No,4,7,3,1,0,0
43,No,Sales,Male,Manager,16959,Yes,3,25,4,25,12,4
30,No,"Research & Development",Male,"Research Scientist",2613,No,4,10,2,10,7,0
33,No,Sales,Male,"Sales Executive",6146,No,3,8,4,7,7,0
56,Yes,"Research & Development",Female,"Research Scientist",4963,Yes,3,7,3,5,4,4
51,No,"Research & Development",Male,"Research Director",19537,No,3,23,3,20,18,15
31,Yes,Sales,Male,"Sales Executive",6172,Yes,3,12,2,7,7,7
26,No,"Research & Development",Female,"Research Scientist",2368,No,3,5,2,5,4,4
58,Yes,"Research & Development",Female,"Healthcare Representative",10312,No,3,40,2,40,10,15
19,Yes,Sales,Male,"Sales Representative",1675,Yes,3,0,2,0,0,0
22,No,"Research & Development",Male,"Laboratory Technician",2523,No,3,3,3,2,1,2
49,No,"Research & Development",Female,"Manufacturing Director",6567,No,3,16,2,15,11,5
43,No,"Research & Development",Female,"Research Scientist",4739,No,3,18,3,3,2,1
50,No,Sales,Female,"Sales Executive",9208,No,3,16,3,2,2,2
31,Yes,Sales,Female,"Sales Executive",4559,Yes,3,4,3,2,2,2
41,No,Sales,Male,"Sales Executive",8189,Yes,3,12,3,9,7,0
26,No,"Human Resources",Female,"Human Resources",2942,No,4,8,3,8,7,5
36,No,"Research & Development",Male,"Manufacturing Director",4941,No,4,7,3,3,2,0
51,Yes,"Research & Development",Male,"Manufacturing Director",10650,No,3,18,3,4,2,0
39,No,Sales,Female,"Sales Executive",5902,No,3,17,4,15,11,5
25,No,Sales,Male,"Sales Executive",8639,No,3,6,3,2,2,2
30,No,"Human Resources",Male,"Human Resources",6347,Yes,3,12,1,11,9,4
32,Yes,"Research & Development",Female,"Laboratory Technician",4200,No,4,10,4,5,4,0
45,No,"Research & Development",Male,"Research Scientist",3452,No,3,9,2,6,5,0
38,No,"Research & Development",Female,"Research Scientist",4317,Yes,4,19,3,3,2,2
30,No,"Research & Development",Female,"Research Scientist",2632,No,3,5,2,5,4,0
32,No,Sales,Male,"Sales Executive",4668,No,3,9,4,8,7,0
30,No,"Research & Development",Female,"Research Scientist",3204,No,3,8,3,3,2,2
30,No,"Research & Development",Male,"Laboratory Technician",2720,No,3,6,3,5,3,1
41,No,"Research & Development",Male,Manager,17181,No,3,21,2,7,6,7
41,No,"Research & Development",Male,"Laboratory Technician",2238,No,4,7,3,5,0,1
19,No,"Research & Development",Female,"Laboratory Technician",1483,No,3,1,3,1,0,0
40,No,"Research & Development",Female,"Research Scientist",5605,No,3,20,3,20,7,2
35,No,Sales,Male,"Sales Executive",7295,No,3,10,3,10,8,0
53,No,Sales,Male,"Sales Representative",2306,Yes,4,13,1,7,7,4
45,No,"Research & Development",Male,"Laboratory Technician",2348,No,3,20,1,17,9,0
32,No,Sales,Female,"Sales Executive",8998,No,3,9,3,9,8,3
29,No,"Research & Development",Male,"Manufacturing Director",4319,No,3,10,3,10,7,0
51,No,"Research & Development",Male,"Manufacturing Director",6132,No,3,10,3,1,0,0
58,No,"Research & Development",Female,"Research Scientist",3346,Yes,4,9,2,1,0,0
40,No,Sales,Male,"Sales Executive",10855,No,3,15,2,12,11,2
34,No,Sales,Female,"Sales Representative",2231,No,3,6,3,4,3,1
22,No,"Research & Development",Male,"Research Scientist",2323,No,4,2,3,2,2,2
27,No,"Research & Development",Male,"Research Scientist",2024,No,3,6,1,2,2,2
28,No,"Research & Development",Male,"Research Scientist",2713,No,3,5,1,5,2,0
57,No,"Research & Development",Male,"Healthcare Representative",9439,Yes,3,12,1,5,3,1
27,No,"Research & Development",Male,"Research Scientist",2566,Yes,3,1,2,1,1,0
50,No,"Research & Development",Female,Manager,19926,No,3,21,3,5,4,4
41,No,"Research & Development",Male,"Research Scientist",2451,No,3,13,3,9,8,1
30,No,Sales,Female,"Sales Executive",9419,No,3,12,3,10,9,7
38,No,Sales,Female,"Sales Executive",8686,No,4,12,4,8,3,0
32,No,"Research & Development",Male,"Research Scientist",3038,No,4,8,3,5,4,1
27,No,"Research & Development",Male,"Research Scientist",3058,Yes,3,6,2,5,2,1
19,Yes,Sales,Female,"Sales Representative",2325,No,4,1,4,0,0,0
36,No,"Research & Development",Male,"Laboratory Technician",2088,No,3,13,2,8,7,7
30,No,"Research & Development",Male,"Laboratory Technician",3072,No,3,12,3,12,9,6
45,No,Sales,Female,"Sales Executive",5006,Yes,3,9,4,5,4,0
56,No,"Research & Development",Female,"Research Scientist",4257,Yes,3,19,3,2,2,2
33,No,"Research & Development",Male,"Research Scientist",2500,No,3,4,4,3,1,0
19,Yes,"Research & Development",Male,"Laboratory Technician",1102,No,4,1,2,1,0,1
46,No,Sales,Female,"Sales Executive",10453,No,4,24,3,24,13,15
38,No,"Research & Development",Female,"Laboratory Technician",2288,No,3,2,3,2,2,2
31,No,"Research & Development",Female,"Research Scientist",3929,Yes,4,7,3,4,2,0
34,No,"Research & Development",Female,"Research Scientist",2311,No,3,9,3,3,2,1
41,Yes,Sales,Female,"Sales Representative",3140,Yes,4,4,2,4,3,0
50,No,"Research & Development",Male,"Laboratory Technician",3690,No,3,5,2,3,2,0
53,No,"Research & Development",Female,"Manufacturing Director",4450,No,3,5,3,4,2,1
33,No,"Research & Development",Female,"Research Scientist",2756,No,3,8,3,8,7,1
40,No,"Research & Development",Female,Manager,19033,No,3,21,3,20,8,9
55,No,"Research & Development",Male,"Research Director",18722,No,3,36,3,24,15,2
34,No,"Research & Development",Male,"Manufacturing Director",9547,No,3,10,2,10,9,1
51,No,"Research & Development",Female,"Healthcare Representative",13734,No,3,21,3,7,7,1
52,No,"Research & Development",Male,Manager,19999,No,3,34,3,33,18,11
27,No,"Research & Development",Female,"Research Scientist",2279,No,3,7,2,7,7,0
35,Yes,"Research & Development",Male,"Manufacturing Director",5916,Yes,3,8,3,1,0,0
43,No,"Research & Development",Male,"Research Scientist",2089,No,3,7,4,5,4,2
45,No,"Research & Development",Male,Manager,16792,No,4,22,3,20,8,11
37,No,"Research & Development",Male,"Research Scientist",3564,Yes,3,8,2,8,7,1
35,No,"Research & Development",Female,"Laboratory Technician",4425,No,3,10,3,6,2,1
42,No,"Research & Development",Female,"Manufacturing Director",5265,No,3,11,3,5,3,0
38,No,"Research & Development",Male,"Manufacturing Director",6553,No,3,14,3,1,0,0
38,No,"Research & Development",Male,"Manufacturing Director",6261,No,3,9,1,7,7,1
27,No,"Research & Development",Male,"Manufacturing Director",4298,No,3,6,3,2,2,2
49,No,"Research & Development",Male,"Manufacturing Director",6804,Yes,3,7,3,7,7,1
34,No,"Research & Development",Male,"Research Scientist",3815,Yes,3,5,4,5,3,2
40,No,"Research & Development",Male,"Laboratory Technician",2741,Yes,3,15,4,7,2,3
38,Yes,"Research & Development",Male,"Healthcare Representative",6673,Yes,3,17,3,1,0,0
29,Yes,Sales,Female,"Sales Executive",7639,No,4,10,2,10,4,1
22,No,"Research & Development",Male,"Research Scientist",2328,Yes,3,4,2,4,2,2
36,No,"Research & Development",Female,"Laboratory Technician",2153,No,3,8,3,8,1,1
40,No,"Research & Development",Male,"Healthcare Representative",4876,No,3,5,1,3,2,0
46,No,"Research & Development",Male,"Healthcare Representative",9396,No,3,17,3,4,2,0
32,Yes,Sales,Male,"Sales Executive",10400,No,3,14,2,14,8,9
30,No,"Research & Development",Male,"Manufacturing Director",8474,No,4,12,3,11,8,5
27,No,Sales,Female,"Sales Executive",9981,No,3,7,3,7,7,0
51,No,"Research & Development",Male,"Research Director",12490,No,3,16,1,10,9,4
30,Yes,"Research & Development",Female,"Research Scientist",2657,Yes,3,8,3,5,2,0
41,No,Sales,Female,Manager,13591,Yes,3,16,3,1,0,0
30,Yes,Sales,Female,"Sales Executive",6696,No,3,9,2,6,3,0
29,Yes,"Research & Development",Male,"Research Scientist",2058,No,3,7,2,6,2,1
45,No,Sales,Female,"Sales Executive",8865,No,3,23,3,19,7,12
54,No,Sales,Female,"Sales Executive",5940,No,3,16,3,6,2,0
36,No,"Research & Development",Male,"Laboratory Technician",5914,No,3,16,4,13,11,3
33,No,"Research & Development",Female,"Research Scientist",2622,No,4,7,3,3,2,1
37,No,"Research & Development",Male,"Research Director",12185,Yes,3,10,3,10,8,0
38,No,Sales,Male,"Sales Executive",10609,No,3,17,2,16,10,5
31,No,"Research & Development",Male,"Manufacturing Director",4345,No,3,6,3,5,4,1
59,No,"Research & Development",Male,"Research Scientist",2177,No,3,7,3,1,0,0
37,No,Sales,Male,"Sales Representative",2793,No,3,13,3,9,8,5
29,No,Sales,Female,"Sales Executive",7918,No,3,11,3,11,10,4
35,No,Sales,Female,"Sales Executive",8789,No,3,10,4,10,7,0
29,Yes,"Research & Development",Male,"Research Scientist",2389,Yes,3,4,2,4,3,0
52,No,"Research & Development",Female,"Laboratory Technician",3212,No,3,6,2,2,2,2
42,No,"Research & Development",Male,Manager,19232,No,3,22,3,22,17,11
59,No,"Human Resources",Male,"Human Resources",2267,No,3,7,2,2,2,2
50,No,Sales,Female,Manager,19517,No,3,32,2,7,0,0
33,Yes,"Research & Development",Male,"Laboratory Technician",2436,Yes,3,8,1,5,4,0
43,No,Sales,Female,Manager,16064,Yes,4,22,3,17,13,1
33,Yes,"Research & Development",Female,"Laboratory Technician",2707,No,4,13,4,9,7,1
52,No,Sales,Male,Manager,19068,Yes,3,33,4,33,7,15
32,No,Sales,Female,"Sales Representative",3931,No,3,6,3,4,3,1
32,Yes,"Research & Development",Male,"Laboratory Technician",3730,Yes,3,4,1,3,2,1
39,No,"Research & Development",Female,"Laboratory Technician",2232,No,3,7,3,3,2,1
32,No,Sales,Male,"Sales Executive",4465,No,3,4,3,3,2,2
41,No,"Research & Development",Male,"Research Scientist",3072,No,3,17,2,1,0,0
40,No,"Research & Development",Male,"Research Scientist",3319,No,3,9,3,9,8,4
45,No,"Research & Development",Male,Manager,19202,No,3,25,3,24,0,1
31,No,"Research & Development",Male,"Research Director",13675,No,3,9,3,2,2,2
33,No,"Research & Development",Female,"Research Scientist",2911,No,3,2,2,2,2,0
34,No,"Research & Development",Male,"Manufacturing Director",5957,No,3,13,3,11,9,5
37,No,"Research & Development",Female,"Research Scientist",3920,No,3,17,2,3,1,0
45,No,"Research & Development",Male,"Manufacturing Director",6434,No,3,9,3,3,2,0
37,Yes,"Research & Development",Male,"Manufacturing Director",10048,No,3,17,3,1,0,0
39,No,"Research & Development",Female,"Healthcare Representative",10938,No,4,20,3,19,6,11
29,No,"Research & Development",Male,"Research Scientist",2340,No,3,6,3,6,5,1
42,No,"Research & Development",Female,"Research Scientist",6545,Yes,3,10,3,3,2,0
29,No,Sales,Male,"Sales Executive",6931,No,3,10,3,3,2,0
25,No,"Research & Development",Female,"Manufacturing Director",4898,No,3,5,3,4,2,1
42,No,"Research & Development",Female,"Laboratory Technician",2593,Yes,3,10,3,9,6,7
40,No,"Research & Development",Male,"Research Director",19436,No,3,22,3,21,7,3
51,No,"Research & Development",Male,"Research Scientist",2723,No,3,1,2,1,0,0
31,Yes,"Research & Development",Male,"Laboratory Technician",3479,No,3,6,4,5,4,1
32,No,"Research & Development",Male,"Laboratory Technician",2794,No,4,5,1,5,1,0
38,No,Sales,Male,"Sales Executive",5249,No,3,13,3,8,7,7
32,No,"Research & Development",Male,"Laboratory Technician",2176,No,3,9,3,6,2,0
46,No,Sales,Female,Manager,16872,Yes,3,28,2,7,7,7
28,Yes,"Research & Development",Male,"Laboratory Technician",3485,No,3,5,1,0,0,0
29,No,Sales,Male,"Sales Executive",6644,No,3,10,3,0,0,0
31,No,"Research & Development",Male,"Healthcare Representative",5582,No,4,10,3,9,0,7
25,No,"Research & Development",Male,"Healthcare Representative",4000,No,3,6,3,6,3,1
45,No,"Research & Development",Male,"Healthcare Representative",13496,Yes,3,21,3,20,7,4
36,No,"Research & Development",Male,"Laboratory Technician",3210,No,3,16,3,15,13,10
55,No,"Research & Development",Male,Manager,19045,Yes,3,37,3,36,10,4
47,Yes,"Research & Development",Male,Manager,11849,Yes,3,10,2,10,7,9
28,No,"Research & Development",Male,"Research Scientist",2070,No,4,5,2,5,2,0
37,No,Sales,Male,"Sales Executive",6502,No,3,7,4,5,4,0
21,No,"Research & Development",Male,"Research Scientist",3230,No,3,3,4,3,2,1
37,No,"Research & Development",Female,"Research Director",13603,Yes,3,15,3,5,2,0
35,No,"Research & Development",Female,Manager,11996,No,3,10,2,7,7,6
38,No,Sales,Female,"Sales Executive",5605,Yes,4,8,3,8,0,7
26,No,"Research & Development",Female,"Manufacturing Director",6397,No,4,6,1,6,5,1
50,No,"Research & Development",Male,"Research Director",19144,No,3,28,2,10,4,1
53,No,"Research & Development",Male,"Research Director",17584,Yes,3,21,2,5,3,1
42,No,Sales,Male,"Sales Executive",4907,No,4,20,3,20,16,11
29,No,Sales,Male,"Sales Executive",4554,No,3,10,2,10,7,0
55,No,"Research & Development",Male,"Laboratory Technician",5415,Yes,3,12,3,10,7,0
26,No,"Research & Development",Male,"Healthcare Representative",4741,Yes,3,5,3,5,3,3
37,No,"Research & Development",Female,"Research Scientist",2115,No,3,17,3,17,12,5
44,Yes,"Research & Development",Male,"Laboratory Technician",3161,Yes,4,19,1,1,0,0
38,No,"Research & Development",Male,"Healthcare Representative",5745,No,3,10,3,2,2,1
26,Yes,"Research & Development",Male,"Laboratory Technician",2373,Yes,3,5,3,3,2,0
28,No,"Research & Development",Female,"Research Scientist",3310,No,4,5,3,5,3,0
49,No,"Research & Development",Female,"Research Director",18665,Yes,3,22,3,3,2,1
36,No,"Research & Development",Male,"Research Scientist",4485,No,3,10,3,8,0,7
31,No,Sales,Female,"Sales Representative",2789,No,3,2,2,2,2,2
26,Yes,Sales,Male,"Sales Executive",5828,Yes,3,8,3,8,7,7
37,No,"Research & Development",Male,"Research Scientist",2326,Yes,3,4,2,4,2,1
42,No,Sales,Female,"Sales Executive",13525,No,3,23,4,20,4,4
18,Yes,"Research & Development",Male,"Laboratory Technician",1420,No,3,0,3,0,0,0
35,No,Sales,Male,"Sales Executive",8020,No,3,12,2,11,9,6
36,No,"Research & Development",Male,"Laboratory Technician",3688,No,3,4,3,1,0,0
51,No,"Research & Development",Male,"Manufacturing Director",5482,No,3,13,3,4,1,1
41,No,Sales,Male,Manager,16015,No,3,22,3,22,10,0
18,No,Sales,Female,"Sales Representative",1200,No,3,0,3,0,0,0
28,No,"Research & Development",Male,"Healthcare Representative",5661,No,3,9,3,8,3,0
31,No,Sales,Male,"Sales Executive",6929,No,3,10,2,8,7,7
39,No,"Research & Development",Male,"Healthcare Representative",9613,No,3,19,2,18,10,3
36,No,"Research & Development",Female,"Laboratory Technician",5674,No,3,11,3,9,8,0
32,No,Sales,Male,"Sales Executive",5484,No,3,13,2,13,8,4
38,No,"Research & Development",Female,"Research Director",12061,No,3,19,3,10,8,0
58,No,"Research & Development",Male,"Healthcare Representative",5660,Yes,3,12,3,5,3,1
31,No,"Research & Development",Male,"Research Scientist",4821,Yes,3,6,3,5,2,0
31,No,"Human Resources",Male,"Human Resources",6410,No,3,9,3,2,2,1
45,No,"Research & Development",Male,"Laboratory Technician",5210,No,3,24,3,24,9,9
31,No,"Research & Development",Male,"Research Scientist",2695,Yes,3,3,1,2,2,2
33,No,"Research & Development",Female,Manager,11878,No,3,12,3,10,6,8
39,No,"Research & Development",Male,Manager,17068,Yes,3,21,3,21,9,11
43,No,"Research & Development",Female,"Laboratory Technician",2455,No,3,9,3,8,7,1
49,No,"Research & Development",Female,"Healthcare Representative",13964,Yes,3,25,3,7,1,0
52,Yes,"Research & Development",Male,"Research Scientist",4941,No,3,11,2,8,2,7
27,No,"Research & Development",Female,"Research Scientist",2478,Yes,3,4,2,4,3,1
32,No,Sales,Female,"Sales Executive",5228,Yes,3,13,3,13,12,11
27,No,Sales,Male,"Sales Executive",4478,Yes,3,5,3,5,4,0
31,No,Sales,Male,"Sales Executive",7547,No,3,13,3,7,7,1
32,No,"Research & Development",Female,"Research Scientist",5055,No,3,10,2,7,7,0
28,Yes,"Research & Development",Male,"Research Scientist",3464,Yes,3,5,2,3,2,2
30,No,"Research & Development",Female,"Research Scientist",5775,No,3,11,3,10,8,1
31,No,"Research & Development",Female,"Manufacturing Director",8943,No,4,10,3,10,9,8
39,No,"Research & Development",Male,Manager,19272,No,3,21,3,21,9,13
39,Yes,Sales,Female,"Sales Executive",5238,Yes,3,12,2,1,0,0
33,No,Sales,Male,"Sales Executive",4682,No,3,9,2,7,7,0
47,No,"Research & Development",Male,"Research Director",18300,No,3,21,3,3,2,1
43,No,"Research & Development",Female,"Laboratory Technician",5257,No,3,9,4,9,7,0
27,No,Sales,Male,"Sales Executive",6349,Yes,3,6,3,5,4,1
54,No,"Research & Development",Female,"Research Scientist",4869,No,3,20,2,4,3,0
43,No,"Research & Development",Female,"Healthcare Representative",9985,No,3,10,2,1,0,0
45,No,"Research & Development",Male,"Research Scientist",3697,No,3,12,3,10,9,9
40,No,Sales,Male,"Sales Executive",7457,Yes,4,6,2,4,3,0
29,Yes,"Research & Development",Male,"Laboratory Technician",2119,Yes,3,7,2,7,7,0
29,No,"Research & Development",Male,"Laboratory Technician",3983,No,3,4,3,3,2,2
30,No,Sales,Female,"Sales Executive",6118,No,3,10,3,10,9,1
27,No,Sales,Female,"Sales Executive",6214,No,3,8,3,8,7,0
37,No,"Research & Development",Male,"Manufacturing Director",6347,No,3,8,2,6,2,0
38,No,"Research & Development",Male,"Research Director",11510,Yes,3,12,3,11,10,2
31,No,"Research & Development",Female,"Manufacturing Director",7143,Yes,3,11,2,11,9,4
29,No,Sales,Female,"Sales Executive",8268,Yes,3,7,3,7,7,1
35,No,"Research & Development",Male,"Manufacturing Director",8095,No,3,17,3,16,6,0
23,No,"Research & Development",Male,"Research Scientist",2904,No,3,4,2,4,2,0
41,No,"Research & Development",Male,"Manufacturing Director",6032,Yes,3,8,3,5,4,1
47,No,Sales,Male,"Sales Representative",2976,No,3,5,3,0,0,0
42,No,"Research & Development",Female,"Research Director",15992,No,3,16,3,1,0,0
29,No,Sales,Male,"Sales Executive",4649,No,3,4,2,4,3,0
